Sedentary,LPA,MPA,VPA,Steps,active
65328,13041,2151,574,9811,2
72153,699,1206,1769,2504,0
43412,1505,4142,1881,12959,4
85684,10909,2252,334,4443,0
81097,5661,3936,410,18110,4
75543,3436,2139,2252,15102,4
132248,1261,534,368,12897,4
89898,4870,293,499,7943,2
89688,5120,948,1131,8289,2
69141,11253,383,4327,15394,4
74037,4538,1263,11135,4695,0
87928,11229,1416,187,6269,1
79115,5434,1544,8788,13167,4
82482,1507,2171,174,15544,4
70633,6410,1132,1689,15445,4
85303,4706,955,620,6817,1
85697,214,1211,716,10896,3
73735,3910,2033,1472,11326,3
89236,10068,1775,187,15205,4
133024,11685,2115,337,12952,4
81266,4723,669,1494,3349,0
80034,5949,513,1921,24462,4
64749,5826,235,242,19375,4
136744,7911,4709,644,13743,4
120798,5931,1259,236,35223,4
66529,6021,2901,484,14982,4
81587,5778,1374,1889,11029,3
82429,7675,1543,135,12921,4
79757,4762,1379,431,11378,3
79795,5551,1363,2355,4892,0
77678,5362,4144,509,13202,4
8787,10450,1164,3526,10866,3
88809,3975,3416,1232,13688,4
76684,3671,0,3085,12964,4
80057,6019,1057,3910,11848,3
176550,5505,2227,395,8023,2
91582,2115,1323,649,15913,4
78751,4409,1067,848,345,0
30239,5576,762,11590,21210,4
90989,10207,3452,563,7709,2
85000,1055,717,4443,15619,4
69637,5828,3494,0,15639,4
40559,2623,1366,2918,8175,2
97499,9110,2951,4771,12334,3
62233,9662,928,9670,15166,4
121822,5065,1505,7352,9579,2
82090,6328,1546,3194,14894,4
92026,2740,1156,1867,22936,4
89872,9028,3236,5180,13555,4
89739,8355,4962,6489,9234,2
74244,6165,764,632,14826,4
3172,11373,2461,1620,3536,0
73977,4911,2666,215,17601,4
161148,3519,1189,1045,12394,3
91233,3787,535,6096,11437,3
39707,14202,3702,0,10668,3
79924,4457,2616,1979,9035,2
73754,6989,1898,1923,21197,4
74305,9531,2775,4302,8355,2
66802,4062,1285,0,16292,4
86634,2123,2173,4569,18014,4
42616,10844,1563,9232,13121,4
65522,3483,2156,639,11485,3
87401,11876,1500,4283,20401,4
77298,4444,706,390,8029,2
70722,6370,2177,1707,9421,2
64610,4951,438,861,1126,0
78356,2289,0,3561,345,0
152200,6557,4856,1540,7637,2
83087,8312,1002,2147,21440,4
85437,13171,29,4295,2793,0
89113,5919,1937,654,8870,2
74112,4808,3811,1596,23664,4
95315,5014,1366,8141,10421,3
68579,1699,1368,10899,6956,1
134663,7819,1779,476,27534,4
84751,1366,3465,219,9988,2
