Sedentary,LPA,MPA,VPA,Steps,active
69129.28207,3180.055376,1900.478305,888.832984,7035.893612,1
10027.53885,2766.228018,2380.709132,609.2452025,5421.921096,1
30933.17909,9454.293718,4725.283431,1949.720427,17854.08098,4
87378.5013,3694.104217,1578.878186,1932.843679,11124.19652,3
90001.46337,7491.891044,4136.16115,659.3452302,23183.9592,4
85863.81756,1766.345747,789.328939,49.84925711,4386.618074,0
54941.3618,12361.5258,4282.375226,2143.404543,28208.52398,4
61112.82414,7440.369033,1043.93,234.2345357,15612.60017,4
70919.01988,2020.181648,5429.502107,654.9325747,11988.24617,3
41141.94458,2667.389343,568.7258984,47.82011847,8317.424112,2
30007.97175,7281.150407,777.3879565,931.8201319,10319.71606,3
92207.11568,6739.891449,551.6168081,489.6610687,12257.98759,3
77436.12409,4959.427958,1411.034193,560.7722855,13729.26145,4
60446.06054,7289.787743,1416.185741,630.126561,10213.13898,3
103490.4868,2790.474433,2151.294252,358.9496804,11274.84669,3
51670.65367,4265.031116,977.5397612,613.2405354,8814.092163,2
26271.35968,3495.641791,904.4910296,124.7884849,4896.567035,0
61929.01582,6433.728357,3481.025544,1209.120299,15633.03577,4
62422.11703,6960.723335,2497.204178,1420.633577,14030.45519,4
63384.1772,5496.841657,2636.358396,1140.710061,11023.27896,3
79784.62949,10796.38308,2279.536668,794.5697817,15640.618,4
27764.09195,3457.777678,152.6738519,-367.1556004,5925.937387,1
134352.1412,4576.066599,3046.728992,293.9224344,17880.72227,4
123297.5645,3361.551811,646.7548064,707.3630025,13042.92234,4
136130.5455,7302.706917,1232.764083,962.7581884,16797.57334,4
84087.38907,6887.997403,771.3812898,2124.439305,12974.87744,4
19736.67824,2301.606351,1921.535981,121.4240944,4653.794662,0
74143.15794,451.8470682,1055.877241,66.73359933,1900.317458,0
74480.68046,6382.581311,357.6320539,-224.2515768,7970.479191,2
17254.48399,820.3618869,71.20966991,-361.2153754,319.1482262,0
3445.788495,518.6316879,303.2469458,15.9227257,197.3565208,0
131445.5308,5538.090721,1469.266555,861.6289395,15337.52358,4
22354.27212,10317.28358,1442.673078,833.6130052,14911.28681,4
81657.2996,5779.193845,1816.739265,444.9345306,11189.44919,3
58646.6909,7851.734283,3005.043819,703.4287285,19475.34294,4
110933.6078,14565.53793,5124.553837,1901.339972,43115.58028,4
28481.7724,5722.10655,4690.54509,1491.665198,14204.95497,4
87621.60252,8107.028823,1166.764877,638.9725007,12085.40421,3
91720.78416,7787.163456,390.8262554,952.1354543,11238.4405,3
63395.69599,3540.040757,1005.853646,732.5192502,7832.659191,2
81316.93378,3217.940981,805.6303993,1527.642192,9504.999574,2
79102.35676,4381.269876,540.8470523,-5.591875665,8786.683189,2
145041.5621,11026.51618,3278.528335,2567.138635,23005.31257,4
114944.9565,3080.707833,3958.88515,1367.467758,16752.76886,4
8283.518895,3331.419423,956.9911726,333.250984,3335.168436,0
82981.07282,3566.838114,2627.109642,1540.427432,12402.37813,3
85368.67897,9043.124971,1430.171505,912.4467582,24155.74425,4
31064.85543,3010.228589,600.6307535,268.2634532,7719.933944,2
67273.10833,2561.314855,1702.010431,174.2935434,7359.080079,1
62918.31396,3660.298612,769.1059196,-238.3292687,8133.758958,2
81293.65105,2937.517527,1521.781825,-464.9718836,4676.747202,0
158372.5301,5186.78319,1090.104397,-143.6549897,12229.99809,3
76782.9834,4364.119096,3634.287634,2180.008031,10026.49249,3
84320.66931,4337.77816,2156.385752,1360.412176,15071.09211,4
74726.39061,1426.506746,1555.123654,3743.45665,6671.421615,1
20721.01196,2486.938531,3205.598739,734.7103463,10548.90789,3
90430.37976,4822.643564,3570.694316,5300.899057,16586.91625,4
112146.9021,3821.519191,811.0257077,1217.998738,9575.818838,2
83513.46734,6274.458638,2611.690855,1053.600219,14673.50823,4
90250.70083,3641.586765,1746.826562,227.1687271,13887.00826,4
46902.43879,5655.86926,1650.415867,1686.078163,10214.99088,3
104550.2972,3099.387188,998.5419533,854.1736147,9818.492399,2
96310.2975,1124.099996,1725.870994,925.8185128,7698.901452,2
36134.08142,1840.913942,1383.441792,431.2641869,5226.330195,1
77438.04471,4904.139866,596.1603934,1077.856793,11750.78034,3
78448.43295,4214.073267,449.4720621,232.8855448,4378.917624,0
110805.415,11318.80615,892.564564,157.2734074,16054.86822,4
10397.72606,4707.324023,906.5384516,-168.1099398,6686.434596,1
96502.87998,1951.328475,271.0410727,559.3898665,7546.785154,2
102612.5502,9314.335088,446.201474,32.44456417,11579.95844,3
76310.40939,8800.64198,3484.391797,7643.770799,18423.75049,4
53031.15888,3306.297295,1339.26593,1091.179083,9238.5454,2
90665.72818,5131.770867,1201.747136,1397.738533,13235.31645,4
33408.5979,5671.398832,500.1878948,-235.0685463,9806.993988,2
26314.22707,8482.338664,1138.450567,927.3556043,13698.85687,4
82514.03771,3545.333229,1675.947494,2083.479682,10049.73694,3
21720.94721,578.8119407,1171.247508,193.3700353,1051.401992,0
77652.31611,901.5007097,531.1054943,-770.0343144,-1013.530391,0
42907.36242,8477.406778,1900.577815,1203.368673,15750.77037,4
63295.0055,1308.180378,230.6988392,281.3277269,115.6850709,0
57935.74787,2664.076232,1815.595994,933.7419946,13410.13796,4
63311.41012,4694.973711,971.7976042,404.5445823,9478.491029,2
17233.76682,3734.752278,153.1564184,443.1397608,4073.450686,0
82088.95203,5165.238684,270.0722886,146.0191197,10912.26775,3
79703.20108,2931.830116,778.7684879,530.2985951,9725.648241,2
87071.80441,3876.075814,1086.122033,682.8639044,8943.898893,2
13938.45124,3159.934133,3575.056298,1182.179598,6236.927199,1
66594.07107,1916.538906,724.3173241,636.3166596,3579.275798,0
94168.31083,6836.762762,273.3754582,376.9529584,13212.35362,4
82883.39154,4723.731201,5252.481887,1352.600067,19891.50846,4
23125.01695,2123.369127,957.9481339,44.65310073,5574.367841,1
102418.4523,5523.696007,2840.004838,1406.619923,15005.66276,4
60310.5133,5427.958719,-31.17712435,-474.675639,5325.322663,1
78144.83972,1982.046352,2014.922986,2906.829946,9613.57121,2
23576.98423,4185.468611,441.3241173,-481.8166835,4331.408363,0
67910.59784,1920.586424,501.5044635,-181.2844539,5252.178845,1
86568.93437,3716.440632,1057.619303,1097.558161,15544.43684,4
108742.4605,6560.984434,887.0491614,282.7769162,12083.44354,3
40012.04688,3932.476452,3873.843231,1422.773229,12207.6997,3
69438.85711,4654.48491,80.23384507,-799.4888844,5456.235781,1
-6644.034998,4551.49171,2656.333615,755.3300827,12058.84453,3
48790.61159,7616.332674,1287.685329,160.5931053,13389.64496,4
67583.72307,6892.548547,2205.825472,-415.8124245,15017.34311,4
22658.30247,4164.27624,2839.288551,425.6048928,8967.691467,2
134750.7782,2176.375688,2893.083958,163.3099185,7102.331297,1
8900.359385,3277.419154,1020.591401,570.1896449,5106.380506,1
78162.06676,3399.626899,2079.155102,626.1246266,11862.92981,3
54088.78688,2228.190934,1014.233613,825.7507641,7092.884054,1
51573.96471,2019.451693,371.5282751,19.74782258,1931.262624,0
41649.703,2471.325621,508.8770154,334.7098157,5745.043749,1
67976.09679,9065.512014,1408.435942,584.4920601,13511.99733,4
66403.58375,5490.641467,1335.704949,-197.3904268,9860.596034,2
25540.94857,3128.978896,791.7044816,243.9518222,10141.97967,3
30941.54108,4559.754216,2466.086406,646.667994,13603.03222,4
74941.3763,9384.37682,1019.341448,223.7924838,12223.59901,3
90242.74045,4090.165762,618.1977692,884.1276202,13066.19499,4
105840.8397,2940.92587,1052.942918,804.840962,12672.05951,4
