Sedentary,LPA,MPA,VPA,Steps,active
8331.185,1199.0278,-59.76511,255.01332,2231.0432,0
8574.705,1122.0747,-90.24478,265.11893,2165.8472,0
8078.789,1165.7285,-56.630344,240.28401,2163.3323,0
10788.055,928.30334,-286.08887,342.29102,2025.9075,0
8773.299,902.2813,-190.26549,279.46994,1847.6038,0
13272.927,899.1795,-443.3636,440.2482,2152.2078,0
10107.939,490.59604,-414.2875,338.3999,1341.4354,0
6954.3647,686.06885,-153.02773,222.10881,1437.3837,0
11312.16,1080.819,-260.3489,358.76334,2283.5784,0
9390.045,1116.9629,-137.31882,288.32333,2210.368,0
12255.783,1164.2224,-293.96765,386.38452,2446.2136,0
8037.9814,1152.6249,-68.00563,235.12248,2119.1614,0
6768.4976,1268.2642,48.31631,188.63025,2203.7375,0
11780.543,797.90375,-391.6187,388.2222,1910.15,0
7383.7173,445.36795,-271.7892,238.37561,1097.123,0
8866.644,835.04034,-211.6437,282.612,1771.3048,0
10180.303,1082.4376,-192.59174,320.35828,2220.9536,0
11952.777,1263.5271,-232.82993,375.41284,2587.426,0
6585.813,1404.0112,103.513954,181.3456,2382.293,0
12122.809,582.3768,-495.54697,412.06848,1617.089,0
6889.589,447.88815,-248.22957,223.5791,1059.8817,0
5716.4155,775.07355,-60.1711,175.44064,1462.2606,0
5276.0317,601.278,-94.38819,162.0717,1183.1155,0
8644.202,667.6612,-260.94022,276.5791,1505.4407,0
4282.939,689.4905,-13.209424,125.46594,1232.3157,0
4662.29,586.98157,-64.34624,139.85278,1120.7186,0
7237.433,792.33875,-136.72586,227.10721,1591.8771,0
7126.575,1344.6265,51.887814,197.26613,2328.2974,0
8441.656,791.97687,-205.1145,261.28378,1662.9304,0
9546.711,437.3805,-392.31226,334.80795,1268.1648,0
8439.8955,890.6875,-178.40424,271.308,1799.2705,0
7533.118,509.9763,-254.61961,240.11864,1197.6394,0
9840.75,889.0927,-254.39339,328.88058,1920.0052,0
8211.301,676.96094,-229.5701,264.00745,1499.4846,0
7258.262,596.6396,-212.43904,236.21516,1311.395,0
8685.578,1248.2797,-59.88958,269.48828,2346.8076,0
6096.5215,1096.466,28.731903,184.80644,1944.0725,0
8154.5967,553.37354,-274.87766,258.8203,1300.1106,0
10002.317,1066.5164,-200.74513,325.84375,2176.992,0
8654.118,748.2927,-225.08426,276.44656,1636.3448,0
8020.818,617.17303,-246.61838,248.8744,1371.1246,0
7509.4365,1085.2927,-45.3605,220.34608,2020.3387,0
