,sedentary,LPA,MPA,VPA,steps,active
0,907,107,0,0,3062.0,0
1,874,94,0,0,1472.0,0
2,990,59,0,0,610.0,0
3,740,80,8,4,2177.0,0
4,816,67,0,0,1690.0,0
5,802,53,0,0,597.0,0
6,925,92,20,17,4588.0,0
7,867,109,11,17,4786.0,0
8,685,78,0,0,1709.0,0
9,987,54,0,0,729.0,0
10,851,29,0,0,340.0,0
11,880,95,7,21,4724.0,0
12,809,56,0,0,1061.0,0
13,962,77,16,18,4203.0,0
14,893,102,5,8,4553.0,0
15,813,135,0,0,2679.0,0
16,824,89,0,0,1594.0,0
17,818,67,9,4,1838.0,0
18,935,90,0,0,1998.0,0
19,871,91,0,0,1233.0,0
20,880,117,3,8,5438.0,1
21,709,118,22,7,4593.0,0
22,873,88,0,0,2103.0,0
23,887,79,0,0,1124.0,0
24,912,56,0,0,847.0,0
25,847,67,0,0,907.0,0
26,1037,104,9,12,4527.0,0
27,900,98,8,14,4089.0,0
28,702,121,0,0,2965.0,0
29,770,91,7,3,2061.0,0
30,912,69,0,0,1007.0,0
31,880,93,0,0,2161.0,0
32,901,77,0,0,865.0,0
33,761,126,8,4,2232.0,0
34,799,170,8,3,2445.0,0
35,935,75,6,3,1866.0,0
36,952,36,0,0,487.0,0
37,903,56,0,0,771.0,0
38,1095,124,9,6,5002.0,1
39,757,144,0,0,2938.0,0
40,837,71,0,0,871.0,0
41,822,60,6,4,1608.0,0
42,864,104,3,6,2942.0,0
43,743,88,0,0,2166.0,0
44,836,50,0,0,558.0,0
45,1384,56,0,0,522.0,0
46,580,45,0,0,567.0,0
47,793,154,44,9,7497.0,1
48,967,94,0,0,2073.0,0
49,907,131,0,0,3141.0,0
50,809,60,0,0,866.0,0
51,806,69,0,0,947.0,0
52,843,126,0,0,1828.0,0
53,853,147,27,0,4974.0,0
54,776,92,8,2,2354.0,0
55,801,85,0,0,1224.0,0
56,739,228,48,12,8280.0,2
57,831,118,0,0,2539.0,0
58,907,89,0,0,1556.0,0
59,817,274,16,7,7533.0,2
60,815,100,0,0,1659.0,0
61,710,184,10,0,1731.0,0
62,1072,102,0,0,2530.0,0
63,835,71,0,0,767.0,0
64,896,89,0,0,1215.0,0
65,986,59,0,0,696.0,0
66,987,39,0,0,389.0,0
67,991,50,0,0,644.0,0
68,927,91,0,0,1071.0,0
69,943,57,0,0,614.0,0
70,807,67,8,5,2089.0,0
71,989,100,0,0,1609.0,0
72,793,84,0,0,1249.0,0
73,925,62,0,0,861.0,0
74,887,66,0,0,693.0,0
75,939,69,0,0,827.0,0
76,953,82,0,0,1205.0,0
77,803,129,9,3,2789.0,0
78,960,117,8,3,3036.0,0
79,942,84,0,0,1129.0,0
80,923,89,0,0,1975.0,0
81,979,110,6,18,4620.0,0
82,823,90,0,0,2130.0,0
83,960,102,0,0,2218.0,0
84,827,69,0,0,802.0,0
85,948,88,0,0,1980.0,0
86,932,57,0,0,757.0,0
87,877,101,0,0,2118.0,0
88,1011,78,0,0,954.0,0
89,910,94,5,4,2126.0,0
90,920,77,0,0,1017.0,0
91,808,107,1,11,2570.0,0
92,912,95,0,0,1217.0,0
93,921,102,0,0,1372.0,0
94,858,83,0,0,1063.0,0
95,937,50,0,0,589.0,0
96,903,131,0,0,2368.0,0
97,928,69,0,0,819.0,0
98,829,108,0,0,2583.0,0
99,803,74,0,0,855.0,0
100,966,48,0,0,345.0,0
101,1416,24,0,0,337.0,0
102,507,87,0,0,1974.0,0
103,965,76,0,0,1052.0,0
104,944,99,0,0,1929.0,0
105,812,137,0,0,2259.0,0
106,981,63,0,0,755.0,0
107,1058,56,0,0,782.0,0
108,788,66,13,1,1957.0,0
109,1032,75,0,0,928.0,0
110,840,52,5,5,1470.0,0
111,896,87,0,0,1144.0,0
112,987,55,0,0,654.0,0
113,654,161,79,51,7433.0,1
114,938,56,10,0,393.0,0
115,901,60,0,0,831.0,0
116,1056,70,0,0,961.0,0
117,783,93,0,0,1369.0,0
118,993,66,0,0,848.0,0
119,910,91,0,0,1989.0,0
120,921,59,0,0,730.0,0
121,1396,44,0,0,806.0,0
122,831,69,0,0,761.0,0
123,810,106,8,5,2489.0,0
124,1378,62,0,0,685.0,0
125,912,60,0,0,748.0,0
126,755,83,0,0,1995.0,0
127,1265,44,0,0,524.0,0
128,608,78,0,0,1241.0,0
129,1074,105,0,0,2196.0,0
130,1053,97,0,0,1398.0,0
131,916,95,0,0,2144.0,0
132,1023,89,0,0,1981.0,0
133,763,50,0,0,493.0,0
134,1394,46,0,0,334.0,0
135,689,85,0,0,1219.0,0
136,762,113,0,0,2410.0,0
137,982,96,0,0,1263.0,0
138,736,94,6,1,2194.0,0
139,904,62,0,0,786.0,0
140,774,62,9,5,1783.0,0
141,973,66,0,0,875.0,0
142,825,60,0,0,720.0,0
143,890,85,8,1,2049.0,0
144,809,84,0,0,1179.0,0
145,738,100,20,8,2353.0,0
146,1051,49,0,0,700.0,0
147,822,93,4,5,2070.0,0
148,920,52,0,0,589.0,0
149,830,90,0,0,1714.0,0
150,814,69,9,4,1773.0,0
151,932,67,0,0,777.0,0
152,1440,0,0,0,5186.0,1
153,1261,159,13,7,15235.0,1
154,481,237,42,125,13430.0,4
155,612,229,20,50,19036.0,4
156,661,201,16,99,15421.0,4
157,600,249,26,114,6507.0,1
158,740,215,7,10,11950.0,1
159,696,156,32,82,9443.0,2
160,693,213,19,44,14947.0,4
161,589,198,34,87,16353.0,4
162,637,240,44,80,11871.0,3
163,623,224,6,44,12089.0,3
164,629,183,16,109,15729.0,4
165,619,213,19,73,12649.0,4
166,625,256,24,90,18950.0,4
167,419,338,63,57,11003.0,3
168,841,166,12,49,12472.0,3
169,605,184,35,73,12602.0,4
170,648,225,18,80,9624.0,2
171,599,327,12,5,11908.0,1
172,629,191,14,70,11669.0,3
173,646,154,2,81,13488.0,4
174,635,206,15,82,10408.0,3
175,644,231,18,48,11133.0,3
176,636,273,12,61,9338.0,2
177,633,164,13,69,6417.0,1
178,765,189,2,10,16487.0,1
179,641,148,49,79,12803.0,4
180,704,239,23,72,10565.0,3
181,601,144,8,69,13271.0,4
182,564,221,18,65,16912.0,4
183,620,206,101,77,18728.0,4
184,606,198,22,93,14518.0,4
185,663,195,11,89,16456.0,4
186,676,162,10,91,5673.0,1
